subscriptionId,subscriptionName,accountId,Name,EA,NotificationContact,nc1,nc2,nc3,nc4,nc5,nc6,nc7,nc8,nc9,nc10,nc11,nc12,nc13,nc14
7b36016a-5d27-47d1-9605-04098a764f3d,周长,01e96eab-e4a9-4e69-b2c7-49582afe574b,NA,NA,NA,,,,,,,,,,,,,,
d639e0fa-1e1e-4daf-835a-bdbd3367657f,WINDOWS AZURE MOONCAKE,5972c2e8-c942-41ff-b842-35c97bda4e97,NA,NA,NA,,,,,,,,,,,,,,
64fc1d45-5d99-46e2-8b4a-6815173d17fe,NSB QA Sub,954b7453-0a0a-4592-9ec0-860f7b59b7c2,NA,NA,NA,,,,,,,,,,,,,,
c9d3f591-75c5-467b-b48e-a4ef65626587,NSB-AZU-CNN3-SPK01-Prod,954b7453-0a0a-4592-9ec0-860f7b59b7c2,NA,NA,NA,,,,,,,,,,,,,,
b4cfc580-04f2-4ce7-94ed-40039e15c60c,NSB PRD Sub,954b7453-0a0a-4592-9ec0-860f7b59b7c2,NA,NA,NA,,,,,,,,,,,,,,
dac0a3c3-becb-462d-a8ad-48b2041cdc2b,NSB-AZU-CNN3-SPK01-NonProd,954b7453-0a0a-4592-9ec0-860f7b59b7c2,NA,NA,NA,,,,,,,,,,,,,,
efc04f2f-19ff-4e6d-971e-f2ef58814a48,WINDOWS AZURE INTERNAL CONSUMPTION,b52a2cfd-0353-4fb1-87b9-77c2ccada4b0,NA,NA,NA,,,,,,,,,,,,,,
414d5d34-3d3a-4164-862b-514eeb85c95b,WINDOWS AZURE INTERNAL CONSUMPTION,b52a2cfd-0353-4fb1-87b9-77c2ccada4b0,NA,NA,NA,,,,,,,,,,,,,,
2846d685-640f-453a-a817-2154cf4790a5,s-sis-cn-gdo-con-nonprod,cd4d7ed0-c8d3-4467-91fe-e6542d0974ae,NA,NA,NA,,,,,,,,,,,,,,
d12b99c7-646f-442a-b9de-038fc3bf0a64,s-sis-cn-prod-ssot,cd4d7ed0-c8d3-4467-91fe-e6542d0974ae,NA,NA,NA,,,,,,,,,,,,,,
e11651f7-6a1b-4fa4-b19e-70ab6ab78207,s-sis-cn-nonprod-ssot,cd4d7ed0-c8d3-4467-91fe-e6542d0974ae,NA,NA,NA,,,,,,,,,,,,,,
